message_id;original_message_id;summary_line_number;cluster;subject;source_tag;specialist;summary;texto_limpo;decisao;justificativa;
sellside-5bc39501-7064-4e37-87d8-a2a4a51104fc__line_0011;sellside-5bc39501-7064-4e37-87d8-a2a4a51104fc;11;-1;US Daily: Holiday Sales Update: Hauls or Headwinds?;us_macro_economy;generic/release-expectations;**The brick-and-mortar picture pulls the other way, which is why the net call lands at a modest +0.4% rather than something stronger.** Redbook's seasonally adjusted department-store panel points to a roughly flat physical-store reading, while Second Measure indicates a decline. [REDACTED]'s own consumer spending tracker â€” built from private credit-card data and consumer-sentiment surveys â€” also moderated sequentially in November, reinforcing the softer store-side read.;**the brick-and-mortar picture pulls the other way, which is why the net call lands at a modest +0.4% rather than something stronger.** redbook's seasonally adjusted department-store panel points to a roughly flat physical-store reading, while second measure indicates a decline. 's own consumer spending tracker â€” built from private credit-card data and consumer-sentiment surveys â€” also moderated sequentially in november, reinforcing the softer store-side read.;util;;
sellside-69fba154-192c-410a-aa07-fd932d4acda5__line_0006;sellside-69fba154-192c-410a-aa07-fd932d4acda5;6;-1;US Economics Analyst: Earnings Season Takeaways: Adjusting to the New Environment (Walker);us_macro_economy;generic/context-analysis;- Real GDP growth slowed to 2.0% year-over-year in 2025Q2 (from 2.5% in 2024Q4), an annualized 1.2% across 2025H1.;- real gdp growth slowed to 2.0% year-over-year in 2025q2 (from 2.5% in 2024q4), an annualized 1.2% across 2025h1.;util;;
sellside-bfd9f04a-ffd4-47e4-8568-ef197ec33519__line_0020;sellside-bfd9f04a-ffd4-47e4-8568-ef197ec33519;20;-1;US Daily: Government Shutdown: Much Closer to the End Than to the Beginning;us_macro_economy;generic/qualitative-research;**The likelier off-ramp preserves Democratic leverage rather than surrendering it**: a promise to support the CR in return for a guaranteed post-reopening vote on subsidies, with the CR's Nov. 21 expiry becoming the new deadline. That is cleaner for both sides than either more Democratic defections or the filibuster-abolition route Trump floated, which leadership and at least four Republicans have effectively closed off.;**the likelier off-ramp preserves democratic leverage rather than surrendering it**: a promise to support the cr in return for a guaranteed post-reopening vote on subsidies, with the cr's nov. 21 expiry becoming the new deadline. that is cleaner for both sides than either more democratic defections or the filibuster-abolition route trump floated, which leadership and at least four republicans have effectively closed off.;util;;
sellside-d35e0af2-15f3-4710-a435-666ec123fc1b__line_0001;sellside-d35e0af2-15f3-4710-a435-666ec123fc1b;1;0;US Daily: The Growing Challenge of Housing Affordability;us_macro_economy;generic/context-analysis;Landscape. - Real disposable income, in aggregate and across every income quintile, returned some time ago to roughly its pre-pandemic trend.;landscape. - real disposable income, in aggregate and across every income quintile, returned some time ago to roughly its pre-pandemic trend.;util;;
sellside-7eb381df-3a6e-4ef4-a7af-8a28f896c0cd__line_0001;sellside-7eb381df-3a6e-4ef4-a7af-8a28f896c0cd;1;0;Global Markets Daily: All hands on deck to fix US housing affordability?;us_macro_economy;generic/post-release-comment;"Context. The Trump administration has made housing affordability a signature priority, with the President promising ""the most aggressive housing reform plans in American history"" and more measures expected at Davos. Two policies have already been previewed and moved markets: a $200bn GSE MBS purchase program and a proposed ban on institutional buying of single-family homes. This note assesses their real impact and previews what may come next.";"context. the trump administration has made housing affordability a signature priority, with the president promising ""the most aggressive housing reform plans in american history"" and more measures expected at davos. two policies have already been previewed and moved markets: a $200bn gse mbs purchase program and a proposed ban on institutional buying of single-family homes. this note assesses their real impact and previews what may come next.";util;;
sellside-a50680d9-a346-4429-b5b4-71d29b481edf__line_0001;sellside-a50680d9-a346-4429-b5b4-71d29b481edf;1;1;Global Markets Daily: Government Efficiency and US Real Estate: A Modest Impact, For Now (Viswanathan);us_macro_economy;generic/qualitative-research;Definitive impacts. - ~$600 million of CMBS loans are directly exposed to the 793 announced GSA lease terminations, which cover 10 million sq. ft. (roughly 20% in the Washington DC MSA).;definitive impacts. - ~$600 million of cmbs loans are directly exposed to the 793 announced gsa lease terminations, which cover 10 million sq. ft. (roughly 20% in the washington dc msa).;util;;
sellside-fb90b9f5-4ab8-420a-a465-0d22e6120348__line_0001;sellside-fb90b9f5-4ab8-420a-a465-0d22e6120348;1;2;CEEMEA in Focus: CEEMEAâ€™s US Export Exposures, Bilateral Trade Balances, and Effective Tariff Differentials;us_macro_economy;generic/qualitative-research;Definitive impacts. - Direct goods-export exposure to the US averages 1.1% of GDP across CEEMEA, exceeding 2% in only four cases: Israel (3.5%), Hungary (2.2%) and South Africa (2.2%).;definitive impacts. - direct goods-export exposure to the us averages 1.1% of gdp across ceemea, exceeding 2% in only four cases: israel (3.5%), hungary (2.2%) and south africa (2.2%).;util;;
sellside-05a10679-a5bb-4f63-96d6-644527d466cf__line_0010;sellside-05a10679-a5bb-4f63-96d6-644527d466cf;10;3;European Credit Brief: Week ending December 5, 2025;us_macro_economy;generic/context-analysis;"- EUR loan stress has turned sector-skewed: chemicals make up ~21% of the highest-yielding decile versus a 6% market share, pressured by weak demand and Chinese competition; earlier resilience came from a ~16% defensive healthcare/pharma weighting.";"- eur loan stress has turned sector-skewed: chemicals make up ~21% of the highest-yielding decile versus a 6% market share, pressured by weak demand and chinese competition; earlier resilience came from a ~16% defensive healthcare/pharma weighting.";util;;
sellside-16d695f8-29fc-4ef7-9da5-875a00e596dd__line_0001;sellside-16d695f8-29fc-4ef7-9da5-875a00e596dd;1;3;European Credit Brief: Week ending September 19, 2025;us_macro_economy;generic/context-analysis;Landscape. - The HY/IG average spread ratio sits around the 82nd percentile of its post-Covid range, near the high end despite record-tight absolute spreads (Exhibit 1).;landscape. - the hy/ig average spread ratio sits around the 82nd percentile of its post-covid range, near the high end despite record-tight absolute spreads (exhibit 1).;util;;
sellside-8620113b-df7b-4bdc-b401-bc3040a83d12__line_0012;sellside-8620113b-df7b-4bdc-b401-bc3040a83d12;12;3;European Credit Brief: Week ending October 24, 2025;us_macro_economy;generic/context-analysis;"- **2026 supply:** EUR IG gross supply is set to slow to â‚¬725bn from a 2025 record of â‚¬775bn, on higher prefunding, higher bund yields and crowding out; EUR HY stays flat at â‚¬125bn, a second straight year of â‚¬20bn positive net supply.";"- **2026 supply:** eur ig gross supply is set to slow to â‚¬725bn from a 2025 record of â‚¬775bn, on higher prefunding, higher bund yields and crowding out; eur hy stays flat at â‚¬125bn, a second straight year of â‚¬20bn positive net supply.";util;;
